"1","2","3","4","5","6"
136,156,172,186,160,160
136,156,172,186,160,160
156,172,186,160,160,160
136,156,172,186,160,160
136,172,186,160,160,160
136,156,156,172,186,160
137,160,160,160,160,160
137,160,160,160,160,160
137,160,160,160,160,160
138,160,160,160,160,160
138,160,160,160,160,160
138,160,160,160,160,160
138,160,160,160,160,160
137,160,160,160,160,160
137,160,160,160,160,160
148,170,195,160,160,160
148,170,195,160,160,160
151,183,194,160,160,160
150,173,189,160,160,160
150,173,189,160,160,160
189,160,160,160,160,160
150,173,189,160,160,160
150,173,160,160,160,160
150,173,189,160,160,160
150,173,189,160,160,160
150,173,189,160,160,160
150,173,189,160,160,160
154,173,187,160,160,160
151,183,194,160,160,160
151,183,194,160,160,160
151,183,194,160,160,160
151,183,194,160,160,160
132,146,161,160,160,160
132,146,161,160,160,160
132,146,161,160,160,160
132,146,161,160,160,160
132,146,161,160,160,160
132,146,161,160,160,160
131,145,176,160,160,160
131,145,176,160,160,160
131,145,176,160,160,160
130,162,175,160,160,160
131,145,176,160,160,160
131,145,176,160,160,160
132,146,161,160,160,160
120,165,179,160,160,160
127,140,155,160,160,160
132,146,161,160,160,160
120,165,179,160,160,160
127,140,155,160,160,160
132,146,161,160,160,160
120,165,179,160,160,160
127,140,155,160,160,160
120,165,179,160,160,160
132,146,161,160,160,160
120,165,179,160,160,160
126,157,170,160,160,160
130,162,175,160,160,160
130,162,175,160,160,160
130,162,175,160,160,160
120,165,179,160,160,160
126,141,157,160,160,160
130,162,175,160,160,160
149,169,180,160,160,160
126,140,155,160,160,160
149,169,180,160,160,160
130,162,175,160,160,160
120,165,179,160,160,160
126,140,155,160,160,160
120,165,179,160,160,160
126,141,157,160,160,160
120,165,179,160,160,160
126,141,157,160,160,160
120,165,179,160,160,160
126,157,170,160,160,160
150,166,160,160,160,160
150,166,160,160,160,160
150,166,160,160,160,160
184,160,160,160,160,160
150,166,160,160,160,160
150,166,160,160,160,160
126,184,160,160,160,160
150,166,160,160,160,160
150,166,160,160,160,160
131,145,176,160,160,160
131,145,176,160,160,160
121,150,166,160,160,160
184,160,160,160,160,160
150,166,160,160,160,160
131,145,176,160,160,160
150,166,160,160,160,160
131,145,176,160,160,160
149,169,180,160,160,160
184,160,160,160,160,160
149,169,180,160,160,160
131,145,176,160,160,160
149,169,180,160,160,160
149,169,180,160,160,160
127,184,160,160,160,160
149,169,180,160,160,160
149,169,180,160,160,160
130,162,175,160,160,160
149,169,180,160,160,160
130,162,175,160,160,160
149,169,180,160,160,160
130,162,175,160,160,160
130,162,175,160,160,160
